Percentage served,Time in ms
0,202.937
1,202.937
2,202.937
3,202.937
4,202.937
5,202.937
6,202.937
7,202.937
8,202.937
9,202.937
10,316.651
11,316.651
12,316.651
13,316.651
14,316.651
15,316.651
16,316.651
17,316.651
18,316.651
19,316.651
20,316.651
21,316.651
22,316.651
23,316.651
24,316.651
25,316.651
26,316.651
27,316.651
28,316.651
29,316.651
30,357.437
31,357.437
32,357.437
33,357.437
34,357.437
35,357.437
36,357.437
37,357.437
38,357.437
39,357.437
40,357.437
41,357.437
42,357.437
43,357.437
44,357.437
45,357.437
46,357.437
47,357.437
48,357.437
49,357.437
50,368.405
51,368.405
52,368.405
53,368.405
54,368.405
55,368.405
56,368.405
57,368.405
58,368.405
59,368.405
60,368.405
61,368.405
62,368.405
63,368.405
64,368.405
65,368.405
66,368.405
67,368.405
68,368.405
69,368.405
70,1001.401
71,1001.401
72,1001.401
73,1001.401
74,1001.401
75,1001.401
76,1001.401
77,1001.401
78,1001.401
79,1001.401
80,1001.401
81,1001.401
82,1001.401
83,1001.401
84,1001.401
85,1001.401
86,1001.401
87,1001.401
88,1001.401
89,1001.401
90,140260760416.208
91,140260760416.208
92,140260760416.208
93,140260760416.208
94,140260760416.208
95,140260760416.208
96,140260760416.208
97,140260760416.208
98,140260760416.208
99,140260760416.208
100,1001.401
